Gene Symbol,Description,Category,Uniprot ID,Gifts,GC Id,Relevance score, GeneCards Link
"MGMT","O-6-Methylguanine-DNA Methyltransferase","Protein Coding","P16455","62","GC10P135655","48.4142112731934","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MGMT"
"EGFR","Epidermal Growth Factor Receptor","Protein Coding","P00533","67","GC07P055019","48.2866363525391","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EGFR"
"IDH1","Isocitrate Dehydrogenase (NADP(+)) 1","Protein Coding","O75874","65","GC02M208236","42.726131439209","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IDH1"
"PTEN","Phosphatase And Tensin Homolog","Protein Coding","P60484","65","GC10P134441","39.4312934875488","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTEN"
"TP53","Tumor Protein P53","Protein Coding","P04637","66","GC17M007661","38.2750587463379","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TP53"
"SCARNA5","Small Cajal Body-Specific RNA 5","RNA Gene","","27","GC02P233275","28.603889465332","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SCARNA5"
"ATM","ATM Serine/Threonine Kinase","Protein Coding","Q13315","66","GC11P108222","27.1662979125977","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATM"
"MSH2","MutS Homolog 2","Protein Coding","P43246","61","GC02P047403","26.3757610321045","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MSH2"
"ERBB2","Erb-B2 Receptor Tyrosine Kinase 2","Protein Coding","P04626","68","GC17P039687","26.0625991821289","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ERBB2"
"MTOR","Mechanistic Target Of Rapamycin Kinase","Protein Coding","P42345","68","GC01M011106","24.7168674468994","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MTOR"
"STAT3","Signal Transducer And Activator Of Transcription 3","Protein Coding","P40763","66","GC17M042313","23.4702758789063","https://www.genecards.org/cgi-bin/carddisp.pl?gene=STAT3"
"CDKN2A","Cyclin Dependent Kinase Inhibitor 2A","Protein Coding","Q8N726","63","GC09M021967","22.8260498046875","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDKN2A"
"MDM2","MDM2 Proto-Oncogene","Protein Coding","Q00987","66","GC12P068808","22.8011627197266","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MDM2"
"TERT","Telomerase Reverse Transcriptase","Protein Coding","O14746","64","GC05M001253","22.7946510314941","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TERT"
"VEGFA","Vascular Endothelial Growth Factor A","Protein Coding","P15692","61","GC06P043770","22.6882381439209","https://www.genecards.org/cgi-bin/carddisp.pl?gene=VEGFA"
"FGFR1","Fibroblast Growth Factor Receptor 1","Protein Coding","P11362","67","GC08M038400","22.2954616546631","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FGFR1"
"PIK3CA","Phosphatidylinositol-4,5-Bisphosphate 3-Kinase Catalytic Subunit Alpha","Protein Coding","P42336","64","GC03P179148","21.8603286743164","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PIK3CA"
"AKT1","AKT Serine/Threonine Kinase 1","Protein Coding","P31749","66","GC14M104769","21.7575263977051","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AKT1"
"CDK4","Cyclin Dependent Kinase 4","Protein Coding","P11802","66","GC12M061024","21.451229095459","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDK4"
"IDH2","Isocitrate Dehydrogenase (NADP(+)) 2","Protein Coding","P48735","65","GC15M090083","21.4245700836182","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IDH2"
"DNMT3A","DNA Methyltransferase 3 Alpha","Protein Coding","Q9Y6K1","65","GC02M025228","20.2028636932373","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DNMT3A"
"BRAF","B-Raf Proto-Oncogene, Serine/Threonine Kinase","Protein Coding","P15056","67","GC07M140803","20.0224132537842","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BRAF"
"PDGFRA","Platelet Derived Growth Factor Receptor Alpha","Protein Coding","P16234","66","GC04P054229","19.5984916687012","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PDGFRA"
"PPARG","Peroxisome Proliferator Activated Receptor Gamma","Protein Coding","P37231","65","GC03P012287","18.8636951446533","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPARG"
"MYC","MYC Proto-Oncogene, BHLH Transcription Factor","Protein Coding","P01106","65","GC08P127735","18.8457851409912","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MYC"
"HIF1A","Hypoxia Inducible Factor 1 Subunit Alpha","Protein Coding","Q16665","62","GC14P061695","18.8310298919678","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HIF1A"
"MSH6","MutS Homolog 6","Protein Coding","P52701","61","GC02P047695","18.5437908172607","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MSH6"
"ROS1","ROS Proto-Oncogene 1, Receptor Tyrosine Kinase","Protein Coding","P08922","60","GC06M117287","18.138256072998","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ROS1"
"MLH1","MutL Homolog 1","Protein Coding","P40692","61","GC03P036993","18.0597305297852","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MLH1"
"RB1","RB Transcriptional Corepressor 1","Protein Coding","P06400","61","GC13P048303","17.9602870941162","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RB1"
"C11orf65","Chromosome 11 Open Reading Frame 65","Protein Coding","Q8NCR3","44","GC11M108308","17.9265937805176","https://www.genecards.org/cgi-bin/carddisp.pl?gene=C11orf65"
"PMS2","PMS1 Homolog 2, Mismatch Repair System Component","Protein Coding","P54278","61","GC07M005982","17.8117752075195","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PMS2"
"MIR21","MicroRNA 21","RNA Gene","","33","GC17P059841","17.7588806152344","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR21"
"MET","MET Proto-Oncogene, Receptor Tyrosine Kinase","Protein Coding","P08581","67","GC07P116672","17.7020778656006","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MET"
"NF1","Neurofibromin 1","Protein Coding","P21359","60","GC17P031094","17.5998268127441","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NF1"
"CCND1","Cyclin D1","Protein Coding","P24385","65","GC11P069641","17.2393016815186","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCND1"
"BCL2","BCL2 Apoptosis Regulator","Protein Coding","P10415","64","GC18M063123","17.0992698669434","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BCL2"
"H19","H19 Imprinted Maternally Expressed Transcript","RNA Gene","","36","GC11M001995","16.9581241607666","https://www.genecards.org/cgi-bin/carddisp.pl?gene=H19"
"MAPK1","Mitogen-Activated Protein Kinase 1","Protein Coding","P28482","66","GC22M090309","16.824728012085","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAPK1"
"CXCR4","C-X-C Motif Chemokine Receptor 4","Protein Coding","P61073","65","GC02M136114","16.7489070892334","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CXCR4"
"PTK2","Protein Tyrosine Kinase 2","Protein Coding","Q05397","61","GC08M140657","16.6887702941895","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTK2"
"CDK6","Cyclin Dependent Kinase 6","Protein Coding","Q00534","64","GC07M092604","16.1707210540771","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDK6"
"GLI1","GLI Family Zinc Finger 1","Protein Coding","P08151","60","GC12P087089","16.1206130981445","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GLI1"
