gene,event_type,exons,delta_PSI,p_value,mean_tumor,mean_normal,n_tumor,n_normal,p_adj
MAPK8,ME,7|8,-0.5445864516129032,0.0004631179592955644,0.21349354838709675,0.75808,155,5,0.003656194415491298
MTOR,AP,39.1,0.29495966942148766,0.0011539681472843477,0.40823966942148765,0.11328,121,5,0.006657508542025082
IGF1,AT,6,-0.2896896774193549,0.0016437222115469234,0.6010703225806451,0.89076,155,5,0.008502011439035811
BCL2,RI,1.2,-0.2562392592592593,0.005539498615449813,0.5490207407407407,0.80526,135,5,0.022457426819391134
HNRNPK,AP,1,0.21943290322580644,0.00014749168544629432,0.6603729032258064,0.44094,155,5,0.002476402369487425
ERCC1,AP,2.1,0.2135051612903227,0.0012111433486296113,0.5077851612903227,0.29428,155,5,0.0067285741590533965
FGFR2,AT,28.2,0.21333999999999997,0.00020176181291682767,0.8618,0.64846,155,5,0.002476402369487425
HNRNPA1,ES,7.1:7.2:8:9.1:9.2,0.1892141935483871,0.0002641495860786587,0.7894741935483872,0.6002600000000001,155,5,0.002476402369487425
RHOA,ES,3:4:5,-0.1885103225806451,0.0002354812556127181,0.3855096774193549,0.57402,155,5,0.002476402369487425
CASP8,AT,14,0.18816258064516123,8.502872802161868e-06,0.9904225806451613,0.8022600000000001,155,5,0.00127543092032428
CDKN2A,AP,2,0.1665199999999999,0.030363927259866735,0.6767,0.5101800000000001,153,5,0.07346111433838726
TP53,AT,12,0.15626774193548398,0.0001468383113427204,0.9912077419354839,0.8349399999999999,155,5,0.002476402369487425
SRSF2,RI,2.2,0.15074903225806446,0.009625512347637154,0.6680490322580644,0.5173,155,5,0.03357736865454821
SRSF5,AD,2.3,-0.15013999999999997,0.00018667340405819467,0.17046000000000003,0.3206,155,5,0.002476402369487425
PMS2,ES,4,0.14723612903225813,0.00015344028403416128,0.8965161290322581,0.74928,155,5,0.002476402369487425
SRSF7,RI,4.2,-0.14611935483870964,0.04136040781888104,0.40848064516129035,0.5546,155,5,0.09400092686109328
ERCC1,AD,2.2,-0.13408451612903227,0.00022658236690769628,0.6852554838709678,0.8193400000000001,155,5,0.002476402369487425
SRSF7,RI,4.5,-0.12970838709677412,0.06715093157737133,0.6086716129032258,0.7383799999999999,155,5,0.13264693944807196
PMS2,ES,10,-0.12084379194630868,0.01608748569857462,0.7355812080536913,0.856425,149,4,0.05362495232858207
MLH1,AD,1.2,-0.10565896103896105,0.004142388653625679,0.18466103896103897,0.29032,154,5,0.017753094229824337
HNRNPH1,AD,1.3,0.10480967741935487,0.0008856979868048006,0.5849496774193549,0.48014,155,5,0.006230213040174886
