gene	drug	regulatory approval	indication	interaction score
MTOR	VISTUSERTIB	Not Approved	""	0.09190809605437593
MTOR	EVEROLIMUS	Approved	immunosuppressant	0.2054416264744873
MTOR	SIROLIMUS	Approved	for treatment of wet age-related macular degeneration,immunosuppressant	0.08873885136284572
MTOR	PYRROLIDINE DITHIOCARBAMATE	Not Approved	""	0.02827941417057721
MTOR	SU9516	Not Approved	""	0.02297702401359398
MTOR	THAPSIGARGIN	Not Approved	""	0.09190809605437593
MTOR	CGS 15943	Not Approved	""	0.03342112583795489
MTOR	RIDAFOROLIMUS	Not Approved	antineoplastic agent	0.7352647684350074
MTOR	PALOMID-529	Not Approved	""	0.3676323842175037
MTOR	PROPAFENONE	Approved	antiarrythmic agent	0.03342112583795489
MTOR	ZOTAROLIMUS	Not Approved	""	0.1225441280725012
MTOR	GEDATOLISIB	Not Approved	""	0.0816960853816675
MTOR	TEMSIROLIMUS	Approved	antineoplastic agent	0.196070604916002
MTOR	DS-3078A	Not Approved	""	0.7352647684350074
MTOR	MTOR INHIBITOR	Not Approved	""	0.06127206403625062
MTOR	SYK INHIBITOR III	Not Approved	""	0.04084804269083374
MTOR	CHEMBL:CHEMBL587620	Not Approved	""	0.07352647684350073
MTOR	PF-04691502	Not Approved	""	0.06127206403625062
MTOR	LY-294002	Not Approved	""	0.04595404802718796
MTOR	ISOPROTERENOL	Approved	Bronchodilator Agents; Cardiotonic Agents	0.01148851200679699
MTOR	ME-344	Not Approved	""	0.007208478121911837
MTOR	ALPELISIB	Approved	""	0.01021201067270843
MTOR	SAMOTOLISIB	Not Approved	""	0.0490176512290005
MTOR	PERPHENAZINE	Approved	Antipsychotic Agents	0.0141397070852886
MTOR	MIBEFRADIL	Not Approved	""	0.02162543436573551
MTOR	TG100-115	Not Approved	""	0.1838161921087518
MTOR	TAFA-93	Not Approved	immunosuppressant	0.3676323842175037
MTOR	SF1126	Not Approved	antineoplastic agent	0.06127206403625062
MTOR	SIROLIMUS ALBUMIN-BOUND NANOPARTICLES	Not Approved	""	0.1225441280725012
MTOR	GOSSYPOL	Not Approved	""	0.007659008004531328
MTOR	PHENETHYLISOTHIOCYANATE	Not Approved	""	0.09190809605437593
MTOR	CHEMBL:CHEMBL599088	Not Approved	""	0.1838161921087518
MTOR	CHEMBL:CHEMBL600334	Not Approved	""	0.1225441280725012
MTOR	CHEMBL:CHEMBL591618	Not Approved	""	0.07352647684350073
MTOR	CAFFEIC ACID PHENETHYL ESTER	Not Approved	""	0.02625945601553598
MTOR	DIPHENYLENEIODONIUM	Not Approved	""	0.04595404802718796
MTOR	CHEMBL:CHEMBL605077	Not Approved	""	0.1838161921087518
MTOR	VANOXERINE	Not Approved	""	0.01838161921087518
MTOR	WIN55212-2	Not Approved	""	0.01750630401035732
MTOR	SAPANISERTIB	Approved	antineoplastic agent	0.04795205011532658
MTOR	BERZOSERTIB	Not Approved	""	0.04084804269083374
MTOR	OSI-027	Not Approved	antineoplastic agent	0.1633921707633349
MTOR	RITANSERIN	Not Approved	""	0.01671056291897744
MTOR	CC-115	Not Approved	""	0.06127206403625062
MTOR	BW723C86	Not Approved	""	0.07352647684350073
MTOR	VS-5584	Not Approved	""	0.06684225167590978
MTOR	RAPALINK-1	Not Approved	""	0.1838161921087518
MTOR	CHEMBL:CHEMBL2348411	Not Approved	""	0.3676323842175037
MTOR	TYRPHOSTIN A9	Not Approved	""	0.01671056291897744
MTOR	DEQUALINIUM	Approved	""	0.02297702401359398
MTOR	PI3K/BET INHIBITOR LY294002	Not Approved	""	0.06127206403625062
MTOR	APITOLISIB	Not Approved	""	0.02827941417057721
MTOR	PI3K INHIBITOR BGT226	Not Approved	""	0.1838161921087518
MTOR	AZD-8055	Not Approved	""	0.5514485763262555
MTOR	METFORMIN HYDROCHLORIDE	Approved	""	0.01312972800776799
MTOR	DOXAZOSIN MESYLATE	Approved	Anticholesteremic Agents; Antihypertensive Agents; Vasodilator Agents	0.03063603201812531
MTOR	BIX-01294	Not Approved	""	0.04595404802718796
MTOR	GDC-0349	Not Approved	""	0.3676323842175037
MTOR	OMIPALISIB	Not Approved	""	0.01838161921087518
MTOR	CAMPTOTHECIN	Approved	antineoplastic agent	0.01050378240621439
MTOR	AMIODARONE HYDROCHLORIDE	Approved	antiarrhytmic agent	0.0141397070852886
MTOR	PWT-33579	Not Approved	""	0.1838161921087518
MTOR	CHEMBL:CHEMBL527620	Not Approved	""	0.1225441280725012
MTOR	3,4-DICHLOROISOCOUMARIN	Not Approved	""	0.02450882561450025
MTOR	INFIGRATINIB	Approved	""	0.01361601423027791
MTOR	CHEMBL:CHEMBL602127	Not Approved	""	0.05251891203107196
MTOR	CANTHARIDIC_ACID	Not Approved	""	0.09190809605437593
MTOR	IDARUBICIN	Approved	Antineoplastic Agents	0.007659008004531328
MTOR	L-741,626	Not Approved	""	0.03342112583795489
MTOR	SF-1126	Not Approved	""	0.04084804269083374
MTOR	PENTAMIDINE ISETHIONATE	Not Approved	""	0.06127206403625062
MTOR	XL765	Not Approved	antineoplastic agent	0.1225441280725012
MTOR	PERHEXILINE MALEATE	Approved	""	0.03342112583795489
MTOR	CHEMBL:CHEMBL303958	Not Approved	""	0.1838161921087518
MTOR	NICLOSAMIDE	Approved	""	0.01361601423027791
